shap_mag_rmi_bmc_combined1,shap_mag_rmi_fvd_bmc,shap_mag_rmi_thg_bmc,shap_mag_rmi_as_bmc,shap_mag_rmi_tdr_bmc,shap_gra_ggr_hgm_bmc,shap_gra_ggr_tdr_bmc,shap_gra_ggr_fvd_bmc,shap_gra_ggr_as_bmc,shap_gra_ggr_uc500_bmc,shap_gra_ggr_res_bmc,shap_rad_k_bmc,shap_rad_th_bmc,shap_rad_u_bmc,shap_rad_k_th_bmc,shap_rad_u_th_bmc,shap_rad_th_k_bmc,shap_rad_u_k_bmc,shap_geochem_ag_ppm_idw,shap_geochem_as_ppm_idw,shap_geochem_ba_ppm_idw,shap_geochem_bi_ppm_idw,shap_geochem_cd_ppm_idw,shap_geochem_co_ppm_idw,shap_geochem_cu_ppm_idw,shap_geochem_fe_ppm_idw,shap_geochem_in_ppm_idw,shap_geochem_mn_ppm_idw,shap_geochem_mo_ppm_idw,shap_geochem_ni_ppm_idw,shap_geochem_pb_ppm_idw,shap_geochem_sb_ppm_idw,shap_geochem_sn_ppm_idw,shap_geochem_tl_ppm_idw,shap_geochem_zn_ppm_idw,shap_geochem_pca_pc1_idw,shap_geochem_pca_pc2_idw,shap_geochem_pca_pc3_idw,shap_geochem_pca_pc4_idw,shap_geochem_fa_factor1_idw,shap_geochem_fa_factor2_idw,shap_geochem_fa_factor3_idw,shap_geochem_fa_factor4_idw,shap_ag_ppm,shap_as_ppm,shap_ba_ppm,shap_bi_ppm,shap_cd_ppm,shap_co_ppm,shap_cu_ppm,shap_fe_ppm,shap_in_ppm,shap_mn_ppm,shap_mo_ppm,shap_ni_ppm,shap_pb_ppm,shap_sb_ppm,shap_sn_ppm,shap_tl_ppm,shap_zn_ppm,shap_sum
-0.007621608,-0.28744733,0.10217473,0.30820262,-0.085546054,0.15513378,0.013930904,-0.012022747,-0.03505052,-0.22132355,0.05392606,0.15971698,0.28226218,0.25321588,-0.014663705,-0.45832202,1.112896,0.07165146,0.08153806,-0.15185305,-0.07182585,0.45722806,-0.018962722,-0.00511984,-0.14791575,-0.05173654,0.003930341,0.039945856,0.32263976,0.07933036,0.32846665,-0.07051282,-0.33773136,-0.27035135,0.17534326,-0.12735975,-0.12935787,0.012007041,0.13109577,-0.042248394,-0.22909544,0.013571223,-0.062320534,0.22130033,-0.012796776,0.026889939,0.223367,0.2543762,0.043399952,0.08238118,0.035612788,0.40697742,0.07775456,-1.0474905,0.6135302,0.7304257,0.12956178,-0.08597261,0.031106997,0.55634487,3.6065874
0.07391447,0.753856,0.090566695,0.27362147,0.28730467,-0.18003528,0.00023403205,0.11165402,0.4454166,-0.26646876,0.29344815,0.19861415,-0.036346946,-0.31169233,0.10633678,0.27202666,0.78929037,-0.070628695,-0.03831792,-0.0068946565,0.038038403,-0.22416505,-0.017578818,0.04663233,-0.16558817,-0.15113534,0.0007803382,0.04650932,0.253581,-0.088434905,0.03601894,0.057829045,-0.429273,-0.16179034,-0.16310352,-0.15850425,0.16726577,0.0074837906,-0.05787687,-0.029123185,-0.32073703,-0.025604786,0.027801149,0.2047449,-0.03444673,0.05680166,-0.037762508,0.2272522,-0.0211319,-0.057256915,-0.01635906,0.078137286,-0.019924987,0.3921421,0.8339291,0.028859304,0.010414159,0.367345,0.21911952,-0.70250493,3.0042827
0.076765426,-0.18180305,-0.07154652,0.3857734,0.095498234,-0.07604174,-0.003097944,0.044458546,0.22852181,-0.17305626,0.30412945,0.07188084,0.31750968,0.29064843,-0.07864901,0.30300078,1.1188816,-0.00012227148,0.05155339,-0.21966411,-0.029095585,-0.16384293,0.06042818,-0.008456787,-0.15883374,-0.035050854,-0.009095056,-0.023550706,0.33515188,0.062394142,0.13369976,-0.07788694,-0.548873,-0.38251522,0.051324062,0.1400596,0.0637674,0.007605625,0.12786178,0.068570375,0.15851131,-0.022912795,0.017577503,0.37483823,0.13832979,0.082487985,-0.026333997,0.31162563,0.105499126,0.15002492,-0.019159919,-0.065616064,-0.02289979,0.34970945,-0.06840008,-0.12858084,0.0879771,0.34706107,0.056147866,0.5224319,4.4466214
0.09448782,-0.13193586,-0.048742462,0.43096948,0.22086318,0.20984992,0.18140227,0.10409619,-0.0307797,0.59444654,0.2046335,0.05359479,0.31743634,-0.13034452,0.015611382,0.70752275,0.71705437,0.08647373,0.047526464,0.08887313,0.117971785,-0.20734355,0.06399914,0.01770842,0.114370495,-0.09942576,0.001021414,0.057395127,0.31633043,-0.10057266,0.02652228,0.12905738,-0.28783962,0.22156876,0.05861806,-0.12926687,0.16362387,0.024783205,-0.10605771,-0.0035504848,-0.2285169,-0.0057861865,0.012761166,0.16432053,-0.060352135,-0.20410499,-0.049405552,-0.087547064,0.050329447,0.0916418,-4.2546075e-05,-0.13586529,0.058595818,-1.1652197,0.060879614,0.001936161,-0.012458053,-0.14063317,0.004628548,0.30783123,2.774946
0.007899794,0.6385444,0.0867572,0.3106319,0.20429234,-0.009955421,-0.08322477,-0.04935679,0.038472928,-0.2688723,0.27909687,0.11151468,0.13026571,0.24916555,0.21170601,-0.5654906,0.60557365,0.13711324,0.027399441,-0.15425864,0.08506055,0.016358502,-0.004662672,-0.0030016731,0.01186581,-0.042950362,0.00569626,-0.02417392,0.2538833,-0.044390373,0.2635046,0.024472218,0.15702248,-0.22453551,0.13039726,-0.12651677,-0.19367497,0.0061464086,0.020656008,-0.1316468,-0.32525337,0.012066886,-0.03788666,0.2154303,0.05795738,0.045052342,0.19644305,0.253495,0.044352323,0.00018099113,-0.00086005265,0.44986597,-0.017565388,0.34386823,0.08234277,0.56303585,0.023794048,0.3084784,0.016603805,0.5094881,4.8276753
0.032867275,-0.059834145,-0.03227581,0.43455958,0.26188102,0.21320386,0.2239224,0.059792504,0.027558867,0.54420364,0.2077252,0.020162277,0.3140669,-0.13421142,-0.072065786,0.48649907,0.77078235,0.09321378,0.02077878,0.09362431,0.12238035,-0.21527696,0.10751814,-0.0036583133,0.14455362,0.19081408,0.001021414,0.062265128,0.319401,-0.08914917,-0.04864642,0.14354806,-0.41194218,0.19934544,0.11145642,-0.115330786,-0.08421255,0.025187256,-0.14341842,-0.015683116,-0.24363701,-0.031544764,0.0071398336,-0.08917904,0.08416461,0.011197491,-0.055597752,-0.10104558,0.06744443,0.026823942,0.004666619,-0.13803606,-0.02668526,0.09989377,-0.1606875,-0.1006278,-0.00083876494,-0.11339404,-0.009716701,0.28774962,3.3247178
0.011951763,-0.25794002,-0.007576583,0.3035297,-0.08112051,-0.20465657,0.15528338,0.07919122,0.079116255,0.24915257,0.08489908,0.1441827,0.34581727,-0.16969109,0.12814787,0.41761777,1.1591688,-0.08972785,0.03210846,0.09140101,0.019384028,-0.13645266,0.07895554,-0.030337134,0.07681668,-0.15103206,0.0006166729,0.069212586,0.2898768,-0.08326225,-0.084478654,0.12784243,-0.4823337,0.20279472,0.07709255,-0.14205787,-0.033643164,0.007095428,-0.06334839,-0.004715304,-0.2686862,0.014292646,-0.018096091,-0.086572275,0.06330128,0.082735494,0.21466826,-0.12054452,0.0661346,-0.046446763,-0.0031343475,0.43443942,-0.024919458,0.28730366,0.7614408,0.674968,0.02366881,0.2548652,0.22421287,0.38614094,5.1286535
-0.03873291,0.5431823,0.06022873,0.1597739,-0.07086353,0.07781386,0.05682587,-0.06259532,0.033056386,0.26645645,-0.9696747,0.14425565,0.024319436,-0.2382137,0.13786387,0.61466306,0.5983815,-0.08633208,0.0071753343,0.0796353,0.020134188,-0.11443744,0.084041,-0.026139999,0.12535132,-0.069771655,0.001021414,0.06689528,0.30505273,-0.07546077,-0.028725293,0.1101812,-0.35211372,0.1680148,0.1380063,-0.08372021,0.13914768,0.007095428,-0.045242343,-0.01525631,-0.17543489,-0.026721755,0.035257503,-0.08652547,0.063940324,0.04608082,0.21666332,-0.13575444,0.08778024,-0.035625078,-0.0050597237,0.34004956,-0.022096328,0.2611289,0.6528408,0.6574257,-0.006415696,0.32236972,0.18964432,0.42633533,4.497176
0.04737274,0.52164656,-0.10694985,-0.46878,0.16647802,-0.16129087,0.043666482,-0.011496928,0.1796537,0.014808176,0.3232525,0.25465044,0.29080242,0.28482464,0.18540247,-0.74629015,1.1164541,0.16019496,-0.03552321,0.06105233,0.007952225,0.27610776,0.11623901,0.02652366,0.08994768,0.14621817,0.0006166729,0.021482125,0.36232027,-0.079245046,0.20130675,0.09091343,0.49824908,0.2425292,0.13521332,0.008381856,0.11924209,-0.005151559,0.034055,-0.008588579,0.216373,0.017829789,0.034550358,0.05555074,-0.20105146,0.060797982,-0.019829996,-0.090371646,-0.09642439,0.0708603,-0.0038653966,-0.054953106,-0.044228792,-0.07797876,0.32031015,-0.0135195805,0.053564794,-0.07851784,0.0160548,0.22239788,4.7917905
-0.0035070516,-0.32240927,-0.106047034,0.25414848,-0.0675436,-0.18503809,0.1918852,-0.027333267,0.07368174,0.46910486,0.17446733,0.18562494,0.27492362,0.18729243,0.2342337,-0.7338468,1.0841291,0.107301,-0.02763546,0.06659741,0.010144246,0.36424693,0.11953923,0.026309226,0.10533421,0.13969374,0.0006166729,-0.0012463182,0.38504705,-0.09861277,0.17677413,0.10666313,0.50014037,0.2378478,0.15858318,-0.010267445,0.11542447,-0.005151559,0.03758405,-0.0204118,0.22880168,0.016712818,0.03667459,0.06310235,-0.17664336,0.07648124,-0.017850691,-0.091803625,-0.08368195,0.075051636,-0.007593995,-0.055550948,-0.048335668,-0.07851865,0.26965323,0.020318616,0.08240624,-0.084141135,0.022241773,0.2680128,4.6936245
0.012695415,-0.17822193,0.030179443,0.34874535,-0.01946281,-0.09073968,0.12999679,0.024840012,0.07197434,0.3234345,0.17643343,0.18088922,0.35696393,0.3452443,0.22032748,-0.55787086,1.1511096,0.15431651,0.01010534,0.07787853,-0.034587327,-0.04228502,0.13726553,0.007929628,0.06821848,0.16582656,0.003930341,0.06700432,0.2697774,-0.08156757,-0.03600977,0.13155851,-0.59721357,0.20342,0.088356845,-0.10256685,-0.03182815,-0.008370763,-0.1999026,-0.01836372,0.047407724,-0.026217507,-0.0022954624,-0.08256762,0.05234789,0.08891557,0.0013857158,0.18446353,0.017924313,-0.0033596312,0.0044532977,0.30085924,-0.020258226,0.4175409,0.7421849,0.6514989,0.050945345,-0.07077905,-0.00689823,0.4776555,5.584638
